Dispositivo;Latitud;Longitud;Fecha;Bateria
GPS_6;36.8899000000;-5.0220900000;03-08-2022 04:28:07;LOW;
GPS_6;36.8890500000;-5.0229200000;03-08-2022 04:47:46;LOW;
GPS_6;36.8893500000;-5.0226600000;03-08-2022 04:37:46;LOW;
GPS_6;36.8889700000;-5.0229800000;03-08-2022 05:07:37;LOW;
GPS_6;36.8891800000;-5.0228900000;03-08-2022 04:57:37;LOW;
GPS_6;36.8888300000;-5.0210000000;03-08-2022 06:49:54;LOW;
GPS_6;36.8890000000;-5.0223700000;03-08-2022 06:39:54;LOW;
GPS_6;36.8891400000;-5.0207800000;03-08-2022 06:59:54;LOW;
GPS_6;36.8899800000;-5.0217000000;03-08-2022 07:19:54;LOW;
GPS_6;36.8897700000;-5.0215300000;03-08-2022 07:09:54;LOW;
GPS_6;36.8904900000;-5.0205700000;03-08-2022 07:49:45;LOW;
GPS_6;36.8905800000;-5.0207400000;03-08-2022 07:39:45;LOW;
GPS_6;36.8916500000;-5.0207400000;03-08-2022 07:29:45;LOW;
GPS_6;36.8903000000;-5.0212400000;03-08-2022 07:59:42;LOW;
GPS_6;36.8902700000;-5.0220300000;03-08-2022 08:19:33;LOW;
GPS_6;36.8910000000;-5.0218600000;03-08-2022 08:09:33;LOW;
GPS_6;36.8902700000;-5.0224300000;03-08-2022 08:29:45;LOW;
GPS_6;36.8902300000;-5.0226100000;03-08-2022 08:40:07;LOW;
GPS_6;36.8921900000;-5.0214200000;03-08-2022 09:58:31;LOW;
GPS_6;36.8922300000;-5.0212500000;03-08-2022 09:48:31;LOW;
GPS_6;36.8917600000;-5.0216400000;03-08-2022 12:54:32;LOW;
GPS_6;36.8917600000;-5.0209700000;03-08-2022 14:24:37;LOW;
GPS_6;36.8917600000;-5.0209700000;03-08-2022 14:14:37;LOW;
GPS_6;36.8914200000;-5.0213100000;03-08-2022 14:04:37;LOW;
GPS_6;36.8923000000;-5.0213900000;03-08-2022 16:53:04;LOW;
GPS_6;36.8923000000;-5.0213900000;03-08-2022 16:43:04;LOW;
GPS_6;36.8920900000;-5.0212200000;03-08-2022 16:33:04;LOW;
GPS_6;36.8923000000;-5.0213000000;03-08-2022 18:35:41;LOW;
GPS_6;36.8922600000;-5.0213000000;03-08-2022 18:15:41;LOW;
GPS_6;36.8922600000;-5.0213000000;03-08-2022 18:25:41;LOW;
GPS_6;36.8917500000;-5.0216100000;03-08-2022 19:14:24;LOW;
GPS_6;36.8919200000;-5.0216700000;03-08-2022 19:25:05;LOW;
GPS_6;36.8920500000;-5.0215800000;03-08-2022 19:05:05;LOW;
GPS_6;36.8916300000;-5.0216700000;03-08-2022 20:04:24;LOW;
GPS_6;36.8918500000;-5.0216700000;03-08-2022 19:44:24;LOW;
GPS_6;36.8918900000;-5.0216700000;03-08-2022 19:54:24;LOW;
GPS_6;36.8917800000;-5.0217600000;03-08-2022 20:14:17;LOW;
GPS_6;36.8916200000;-5.0216100000;03-08-2022 20:24:41;LOW;
GPS_6;36.8914700000;-5.0216700000;03-08-2022 20:34:15;LOW;
GPS_6;36.8914500000;-5.0215100000;03-08-2022 20:44:13;LOW;
GPS_6;36.8915700000;-5.0216100000;03-08-2022 21:04:13;LOW;
GPS_6;36.8913600000;-5.0215200000;03-08-2022 20:54:13;LOW;
GPS_6;36.8917500000;-5.0217300000;03-08-2022 21:24:36;LOW;
GPS_6;36.8915900000;-5.0217300000;03-08-2022 21:34:15;LOW;
GPS_6;36.8916300000;-5.0216400000;03-08-2022 21:14:15;LOW;
GPS_6;36.8923000000;-5.0220900000;03-08-2022 21:44:18;LOW;
GPS_6;36.8946200000;-5.0209400000;03-08-2022 22:04:03;LOW;
GPS_6;36.8930300000;-5.0217100000;03-08-2022 21:54:03;LOW;
GPS_6;36.8956600000;-5.0203900000;03-08-2022 22:14:03;LOW;
GPS_6;36.8967000000;-5.0220000000;03-08-2022 22:34:00;LOW;
GPS_6;36.8961900000;-5.0209700000;03-08-2022 22:24:00;LOW;
GPS_6;36.8977900000;-5.0225200000;03-08-2022 22:43:56;LOW;
GPS_6;36.8991800000;-5.0220900000;03-08-2022 22:53:56;LOW;
GPS_6;36.8992800000;-5.0208100000;03-08-2022 23:13:49;LOW;
GPS_6;36.8993200000;-5.0209800000;03-08-2022 23:03:49;LOW;
GPS_6;36.8986800000;-5.0208700000;03-08-2022 23:24:17;LOW;
GPS_6;36.8986700000;-5.0210300000;03-08-2022 23:33:46;LOW;
GPS_6;36.8988200000;-5.0218800000;04-08-2022 00:03:36;LOW;
GPS_6;36.9013300000;-5.0206900000;04-08-2022 00:33:33;LOW;
GPS_6;36.9003000000;-5.0216300000;04-08-2022 00:23:33;LOW;
GPS_6;36.8994800000;-5.0216300000;04-08-2022 00:13:33;LOW;
GPS_6;36.9003400000;-5.0199900000;04-08-2022 00:53:28;LOW;
GPS_6;36.8995200000;-5.0213300000;04-08-2022 01:13:24;LOW;
GPS_6;36.8995100000;-5.0218200000;04-08-2022 01:33:20;LOW;
GPS_6;36.8994700000;-5.0219100000;04-08-2022 01:23:20;LOW;
GPS_6;36.8983100000;-5.0205700000;04-08-2022 02:03:15;LOW;
GPS_6;36.8987800000;-5.0212600000;04-08-2022 01:53:15;LOW;
GPS_6;36.8988700000;-5.0214300000;04-08-2022 01:43:15;LOW;
GPS_6;36.8984800000;-5.0203200000;04-08-2022 02:13:12;LOW;
GPS_6;36.8979400000;-5.0198400000;04-08-2022 02:23:31;LOW;
GPS_6;36.8920900000;-5.0216700000;04-08-2022 04:02:59;LOW;
GPS_6;36.8920900000;-5.0218500000;04-08-2022 03:42:59;LOW;
GPS_6;36.8921300000;-5.0217600000;04-08-2022 03:52:59;LOW;
GPS_6;36.8921000000;-5.0216100000;04-08-2022 04:42:37;LOW;
GPS_6;36.8921900000;-5.0217000000;04-08-2022 04:32:37;LOW;
GPS_6;36.8920800000;-5.0217900000;04-08-2022 05:02:33;LOW;
GPS_6;36.8919900000;-5.0216200000;04-08-2022 04:52:33;LOW;
GPS_6;36.8917800000;-5.0214800000;04-08-2022 05:12:28;LOW;
GPS_6;36.8921000000;-5.0218800000;04-08-2022 05:33:01;LOW;
GPS_6;36.8918900000;-5.0216200000;04-08-2022 05:23:01;LOW;
GPS_6;36.8923100000;-5.0219700000;04-08-2022 05:42:23;LOW;
GPS_6;36.8917500000;-5.0228300000;04-08-2022 06:12:21;LOW;
GPS_6;36.8923100000;-5.0224000000;04-08-2022 06:02:21;LOW;
GPS_6;36.8921800000;-5.0222300000;04-08-2022 05:52:21;LOW;
GPS_6;36.8895000000;-5.0230400000;04-08-2022 07:12:25;LOW;
GPS_6;36.8913900000;-5.0221000000;04-08-2022 06:52:25;LOW;
GPS_6;36.8908300000;-5.0224400000;04-08-2022 07:02:25;LOW;
GPS_6;36.8896200000;-5.0228900000;04-08-2022 07:22:12;LOW;
GPS_6;36.8897100000;-5.0225800000;04-08-2022 07:32:32;LOW;
GPS_6;36.8899700000;-5.0225200000;04-08-2022 07:52:05;LOW;
GPS_6;36.8899300000;-5.0224300000;04-08-2022 07:42:05;LOW;
GPS_6;36.8897700000;-5.0219700000;04-08-2022 08:02:06;LOW;
GPS_6;36.8905000000;-5.0226400000;04-08-2022 08:42:04;LOW;
GPS_6;36.8903700000;-5.0222100000;04-08-2022 08:32:04;LOW;
GPS_6;36.8900300000;-5.0217000000;04-08-2022 08:22:04;LOW;
GPS_6;36.8907500000;-5.0228300000;04-08-2022 08:52:08;LOW;
GPS_6;36.8917600000;-5.0222800000;04-08-2022 09:42:11;LOW;
GPS_6;36.8921700000;-5.0214500000;04-08-2022 11:00:16;LOW;
GPS_6;36.8921700000;-5.0215400000;04-08-2022 10:50:16;LOW;
GPS_6;36.8917800000;-5.0216300000;04-08-2022 10:40:16;LOW;
GPS_6;36.8917600000;-5.0217300000;04-08-2022 13:19:55;LOW;
GPS_6;36.8918000000;-5.0214800000;04-08-2022 13:30:34;LOW;
GPS_6;36.8919500000;-5.0210900000;04-08-2022 15:17:02;LOW;
GPS_6;36.8916900000;-5.0215200000;04-08-2022 15:07:02;LOW;
GPS_6;36.8921100000;-5.0208700000;04-08-2022 18:46:11;LOW;
GPS_6;36.8920700000;-5.0208700000;04-08-2022 18:36:11;LOW;
GPS_6;36.8921000000;-5.0209000000;04-08-2022 19:04:39;LOW;
GPS_6;36.8915200000;-5.0214200000;04-08-2022 19:34:39;LOW;
GPS_6;36.8920800000;-5.0209900000;04-08-2022 19:14:39;LOW;
GPS_6;36.8915200000;-5.0216800000;04-08-2022 19:24:39;LOW;
GPS_6;36.8919600000;-5.0216700000;04-08-2022 19:54:31;LOW;
GPS_6;36.8904700000;-5.0200800000;04-08-2022 20:34:59;LOW;
GPS_6;36.8917900000;-5.0216700000;04-08-2022 20:45:01;LOW;
GPS_6;36.8918300000;-5.0215900000;04-08-2022 20:25:01;LOW;
GPS_6;36.8916800000;-5.0217900000;04-08-2022 21:04:25;LOW;
GPS_6;36.8916800000;-5.0217000000;04-08-2022 20:54:25;LOW;
GPS_6;36.8917400000;-5.0217900000;04-08-2022 21:24:24;LOW;
GPS_6;36.8917000000;-5.0217900000;04-08-2022 21:14:24;LOW;
GPS_6;36.8918000000;-5.0217900000;04-08-2022 21:34:18;LOW;
GPS_6;36.8924800000;-5.0217000000;04-08-2022 21:45:13;LOW;
